Offense,	Team,	POS,	Fan Pts,	PassYds,	PassTD,	PassInt,	Sack,	Pick Six,	RushAtt,	RushYds,	RushTD,	RecYds,	RecTD,	RecTgt,	RetTD,	2PT,	FumTot,	FumLost,,,,
DeVante Parker,NE,WR,72.40,1944,1944,0,0,0,0,0,0,0,0,33,394,0,55,0,0,0,0,
Jimmy Garoppolo,LAR,QB,72.10,1972,1972,1205,7,9,14,0,20,39,0,0,0,0,0,0,1,1,0,
Tre Tucker,LV,WR,71.80,1958,1958,0,0,0,0,0,10,77,0,19,331,2,34,0,0,0,0,
Durham Smythe,Mia,TE,71.60,1926,1926,0,0,0,0,0,0,0,0,35,366,0,43,0,0,0,0,
Michael Mayer,LV,TE,71.40,265,265,0,0,0,0,0,0,0,0,27,304,2,40,0,1,0,0,
Taylor Heinicke,Atl,QB,71.00,366,366,890,5,4,8,0,15,124,1,0,0,0,0,0,1,0,0,
Noah Gray,KC,TE,70.60,1937,1937,0,0,0,0,0,1,1,0,28,305,2,41,0,0,0,0,
Clyde Edwards-Helaire,KC,RB,70.10,278,278,0,0,0,0,0,70,223,1,22,0,0,0,0,0,0,0,
Keaton Mitchell,Bal,RB,69.90,223,223,0,0,0,0,0,47,396,2,9,93,0,11,0,0,0,0,
Anthony Richardson,Ind,QB,69.68,47,47,577,3,1,7,0,25,136,4,0,0,0,0,0,2,3,1,
Marvin Mims Jr,Den,WR,68.70,179,179,0,0,0,0,0,9,30,0,22,377,1,33,1,0,2,2,
Cedrick Wilson Jr,NO,WR,68.60,1956,1956,0,0,0,1,0,0,0,0,22,296,3,38,0,0,0,0,
Chris Moore,Ari,WR,67.30,1992,1992,0,0,0,0,0,2,39,0,22,424,0,35,0,0,1,0,
Brandon Powell,Min,WR,66.10,2371,2371,0,0,0,0,0,0,0,0,29,324,1,44,0,0,1,1,
Mike Gesicki,Cin,TE,65.40,281,281,0,0,0,0,0,0,0,0,29,244,2,45,0,0,0,0,
Greg Dortch,Ari,WR,64.50,277,277,0,0,0,0,0,1,5,0,24,280,2,41,0,0,0,0,
Bailey Zappe,NE,QB,63.18,2565,2565,1272,6,9,25,0,83,1,0,0,0,0,0,0,2,1,,
Allen Robinson II,NYG,WR,62.00,2095,2095,0,0,0,0,0,0,0,0,34,280,0,49,0,0,0,0,
Colby Parkinson,LAR,TE,61.70,213,213,0,0,0,0,0,0,0,0,25,247,2,34,0,0,0,0,
JuJu Smith-Schuster,NE,WR,61.00,1934,1934,0,0,0,0,0,0,0,0,29,260,1,47,0,0,0,0,
Joshua Kelley,LAC,RB,60.70,319,319,0,0,0,0,0,107,405,2,8,32,0,12,0,0,1,1,
Trenton Irwin,Cin,WR,60.60,1955,1955,0,0,0,0,0,0,0,0,25,316,1,32,0,0,2,0,
